Temperature (Â°C),Sound speed (m/s),
"-50","299.4",
"-40","306.1",
"-30","312.6",
"-20","318.9",
"-10","325.2",
"0","331.3",
"10","337.3",
"20","343.2",
"30","349.0",
"40","354.7",
"50","360.3",
"60","365.9",
"70","371.3",
"80","376.7",
"90","382.0",
"100","387.2",
"110","392.4",
"120","397.5",
"130","402.5",
"140","407.5",
"150","412.4",
"160","417.2",
"170","422.0",
"180","426.7",
"190","431.4",
"200","436.0",
"210","440.6",
"220","445.2",
"230","449.6",
"240","454.1",
"250","458.5",
"260","462.9",
"270","467.2",
"280","471.5",
"290","475.7",
"300","479.9",
"310","484.1",
"320","488.2",
"330","492.3",
"340","496.4",
"350","500.4",
"360","504.4",
"370","508.4",
"380","512.3",
"390","516.2",
"400","520.1",
